Title,Link,PublishDate
10year Government Bond Yield Rates as at 31/12/2023,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/549D1E6F2FC6BCFFC2258AD9003E48E6?OpenDocument,07/03/2024 10:19:06
" Extension in Reporting Deadline for DAC7 Data Submission 2023 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/6760078CBE34A41DC2258AA7003624D2?OpenDocument,17/01/2024 08:50:13
"DAC7 Data submission ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/EF3088CA44BC2919C2258AA500373AEA?OpenDocument,15/01/2024 09:02:07
"Automatic Exchange of Financial Account Information DAC2/CRS Clarifications for the Due Diligence: New Individual and Entity Accounts: Self-certification ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/7D72ACC32C618F5AC2258A780030852F?OpenDocument,01/12/2023 07:50:39
"Clarification Bilateral Agreement between Cyprus and the United States ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/876FA6B791D451DFC2258A3F001F76AD?OpenDocument,05/10/2023 05:49:33
"Additional 10year Government Bond Yield Rates as at 31 December 2022, 2021 and 2020 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/0DE0942AB6C90AF9C22589B800410475?OpenDocument,23/05/2023 11:51:52
"New Format of Tax Identification Number (T.I.N.) ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/A030E6F71B1D5F9AC22589A500453380?OpenDocument,04/05/2023 12:45:48
10year Government Bond Yield Ratesas at 31.12.2022,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/DE6DC1D7ADCB9A8FC2258974002C1DC2?OpenDocument,16/03/2023 07:02:40
Updated ΤΙΝ field codes for FATCA XML Schema,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/EB9FCCDDBE73EACFC225895D002551AC?OpenDocument,21/02/2023 05:48:04
"Automatic Exchange of Information CRS/DAC2 Clarifications for correct completion of the XML file ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/4E2FAB306E8EB0CAC225890F0041F3C1?OpenDocument,09/12/2022 10:08:35
Clarification Bilateral Agreement between Cyprus and the United States,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/B408CE2ECB7CCA7DC22588DA00270437?OpenDocument,13/10/2022 07:33:04
10year government bond yiend rate of Jamaica as at 31.12.2021,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/BCDC54E418419B27C225887800357E2B?OpenDocument,07/07/2022 09:45:24
"10 year GOVERNMENT BOND ΥIELD RATE of Panama (in US$) and Ukraine (in Hryvnia) ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/24C660F90CA4848BC22587E9004055F6?OpenDocument,14/02/2022 10:43:31
"10year Government Bond Yield Rates as at 31/12/2021 ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/586D911444EC5B24C22587DE00495E8A?OpenDocument,03/02/2022 12:23:37
New VAT Registration Numbers in Bulgaria,http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/2F555B9BAABEDBFEC22587D6002DC7BC?OpenDocument,26/01/2022 07:21:04
"CbCR_ Country by Country Reporting  ",http://www.mof.gov.cy/mof/tax/taxdep.nsf/All/52697C385A9221F1C22587B100493263?OpenDocument,20/12/2021 12:21:34
